2020;Annaregina;TRUE
2021;Annaréka;TRUE
2022;Annarita;TRUE
2023;Annaróza;TRUE
2024;Annasára;TRUE
2025;Annaszofi;TRUE
2026;Annaszófia;TRUE
2027;Annavera;TRUE
2028;Annavirág;TRUE
2029;Annelin;TRUE
2030;Anni;TRUE
2031;Annika;TRUE
2032;Annunciáta;TRUE
2033;Anriett;TRUE
2034;Antea;TRUE
2035;Antigoné;TRUE
2036;Antoaneta;TRUE
2037;Antoanett;TRUE
2038;Antonella;TRUE
2039;Antónia;TRUE
2040;Antoniett;TRUE
2041;Antonietta;TRUE
2042;Anzelma;TRUE
2043;Apol;TRUE
2044;Apolka;TRUE
2045;Apollinária;TRUE
2046;Apollónia;TRUE
2047;Aporka;TRUE
2048;Appia;TRUE
2049;Ápril;TRUE
2050;Áprilka;TRUE
2051;Arabella;TRUE
2052;Aranka;TRUE
2053;Arany;TRUE
2054;Aranyka;TRUE
2055;Aranyos;TRUE
2056;Arenta;TRUE
2057;Ari;TRUE
2058;Aria;TRUE
2059;Ariadna;TRUE
2060;Ariadné;TRUE
2061;Ariana;TRUE
2062;Arianna;TRUE
2063;Ariéla;TRUE
2064;Ariella;TRUE
2065;Arienn;TRUE
2066;Arika;TRUE
2067;Arikán;TRUE
2068;Arina;TRUE
2069;Arinka;TRUE
2070;Arita;TRUE
2071;Arlett;TRUE
2072;Armanda;TRUE
2073;Armandina;TRUE
2074;Armella;TRUE
2075;Armida;TRUE
2076;Armilla;TRUE
2077;Ármina;TRUE
2078;Arna;TRUE
2079;Árnika;TRUE
2080;Arnolda;TRUE
2081;Árpádina;TRUE
2082;Artemisz;TRUE
2083;Artemízia;TRUE
2084;Artiana;TRUE
2085;Árvácska;TRUE
2086;Árven;TRUE
2087;Arzénia;TRUE
2088;Asma;TRUE
2089;Aszpázia;TRUE
2090;Asszunta;TRUE
2091;Asztéria;TRUE
2092;Asztrid;TRUE
2093;Asztrida;TRUE
2094;Atala;TRUE
2095;Atalanta;TRUE
2096;Atália;TRUE
2097;Atanázia;TRUE
2098;Atára;TRUE
2099;Aténa;TRUE
2100;Aténé;TRUE
2101;Atika;TRUE
2102;Atina;TRUE
2103;Auguszta;TRUE
2104;Augusztina;TRUE
2105;Aura;TRUE
2106;Aurea;TRUE
2107;Aurélia;TRUE
2108;Aurora;TRUE
2109;Auróra;TRUE
2110;Avarka;TRUE
2111;Aviána;TRUE
2112;Avitál;TRUE
2113;Azálea;TRUE
2114;Aziza;TRUE
2115;Azra;TRUE
2116;Azucséna;TRUE
2117;Azura;TRUE
2118;Azurea;TRUE
2119;Babér;TRUE
2120;Babett;TRUE
2121;Babetta;TRUE
2122;Babiána;TRUE
2123;Babita;TRUE
2124;Bagita;TRUE
2125;Bahar;TRUE
2126;Balbina;TRUE
2127;Balda;TRUE
2128;Balzsa;TRUE
2129;Balzsam;TRUE
2130;Bara;TRUE
2131;Barack;TRUE
2132;Baranka;TRUE
2133;Barbara;TRUE
2134;Barbarella;TRUE
2135;Barbel;TRUE
2136;Barbi;TRUE
2137;Barka;TRUE
2138;Bársony;TRUE
2139;Bársonyka;TRUE
2140;Baucisz;TRUE
2141;Bazilia;TRUE
2142;Bea;TRUE
2143;Beáta;TRUE
2144;Beatricse;TRUE
2145;Beatrisz;TRUE
2146;Beatrix;TRUE
2147;Bebóra;TRUE
2148;Béda;TRUE
2149;Begónia;TRUE
2150;Bejke;TRUE
2151;Béke;TRUE
2152;Bekka;TRUE
2153;Belinda;TRUE
